Carné,Nombre,Correo,Telefono,Nikname,Tipo Estudiante,Nota Promedio Examenes,Nota promedio Quices,Nota Promedio Tareas,Nota Proyecto #1,Nota Proyecto #2,Nota Proyecto #3
1324,Antonio,antonio@gmail.com,22721111,anto,A,60,80,88,55,19,15
4567,Oscar,oscar@gmail.com,22722222,osqui,A,55,46,46,96,91,40
7891,Mariana,mariana@gmail.com,22723333,mari,B,70,20,40,64,43,90
1230,Arturo ,arturo@gmail.com,22724444,arty,B,90,46,55,14,46,60
7896,Nicole,nicole@gmail.com,22725555,niki,A,56,20,21,72,50,70
1230,Leonardo,leonardo@gmail.com,22726666,leo,B,40,40,13,76,90,60
1237,Fernando,fernando@gmail.com,22729999,fer,A,58,55,19,35,70,50
1239,Maria ,maria@gmail.com,22728888,mar,B,46,19,94,55,50,77
4560,Stephany,stephany@gmail.com,22723333,steph,B,13,73,97,90,66,15
4521,Noguera ,noguera@gmail.com,22726666,nogue,B,100,100,100,100,100,100
